Уровень календаря,Дата,Статистические показатели,ОКАТО,Значение,,,
1,01.01.2002,Число женщин на 1 января,Ординский район,9156,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Ординский район', 9156);"
1,01.01.2002,Число женщин на 1 января,Осинский район,19072,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Осинский район', 19072);"
1,01.01.2002,Число женщин на 1 января,Оханский район,9935,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Оханский район', 9935);"
1,01.01.2002,Число женщин на 1 января,Очерский район,13154,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Очерский район', 13154);"
1,01.01.2002,Число женщин на 1 января,Пермский район,48547,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Пермский район', 48547);"
1,01.01.2002,Число женщин на 1 января,Сивинский район,9787,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Сивинский район', 9787);"
1,01.01.2002,Число женщин на 1 января,Соликамский район,8551,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Соликамский район', 8551);"
1,01.01.2002,Число женщин на 1 января,Суксунский район,12630,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Суксунский район', 12630);"
1,01.01.2002,Число женщин на 1 января,Уинский район,7562,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Уинский район', 7562);"
1,01.01.2002,Число женщин на 1 января,Усольский район,7025,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Усольский район', 7025);"
1,01.01.2002,Число женщин на 1 января,Частинский район,7587,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Частинский район', 7587);"
1,01.01.2002,Число женщин на 1 января,Чердынский район,15837,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Чердынский район', 15837);"
1,01.01.2002,Число женщин на 1 января,Чернушинский район,29029,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Чернушинский район', 29029);"
1,01.01.2002,Число женщин на 1 января,Чусовской район,41890,0,,"INSERT INTO stat_Permsky_women (date, about, region_name, count) VALUES (STR_TO_DATE('01.01.2002', '%d.%m.%Y'), 'Число женщин на 1 января', 'Чусовской район', 41890);"
